Место,Страна,Команда,М,В,Н,П,ГЗ,ГП,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
W,eng, Chelsea,15,12,3,0,36,10,+26,39,28.3,9.2,+19.1,+1.24,39565,Olivier Giroud - 11,Kepa Arrizabalaga,
,,,,,,,,,,,,,,,,,
F,eng, Arsenal,15,11,1,3,30,13,+17,34,25.1,14.3,+10.8,+0.72,59124,Pierre-Emerick Aubameyang - 8,Petr Čech,
,,,,,,,,,,,,,,,,,
SF,de, Eint Frankfurt,14,9,4,1,30,14,+16,31,24.0,15.4,+8.6,+0.60,47429,Luka Jović - 10,Kevin Trapp,
SF,es, Valencia,8,5,1,2,14,10,+4,16,13.1,8.5,+4.6,+0.58,35944,Kévin Gameiro Gonçalo Guedes - 3,Neto,
,,,,,,,,,,,,,,,,,
QF,es, Villarreal,12,5,5,2,20,13,+7,20,20.0,14.0,+6.0,+0.50,14796,Gerard Moreno - 4,Andrés Fernández,
QF,cz, Slavia Prague,12,5,3,4,17,14,+3,18,12.1,12.1,0.0,0.00,17938,Petr Ševčík Milan Škoda... - 2,Ondřej Kolář,
QF,pt, Benfica,6,3,1,2,9,6,+3,10,7.6,6.0,+1.6,+0.25,50509,João Félix - 3,Odisseas Vlachodimos,
QF,it, Napoli,6,3,0,3,9,7,+2,9,10.6,8.0,+2.6,+0.43,29865,Arkadiusz Milik - 2,Alex Meret,
,,,,,,,,,,,,,,,,,
R16,at, RB Salzburg,10,8,0,2,25,12,+13,24,20.9,10.7,+10.2,+1.02,25779,Moanes Dabour - 8,Alexander Walke,
R16,hr, Dinamo Zagreb,10,6,2,2,16,8,+8,20,12.8,7.5,+5.3,+0.57,20638,Izet Hajrović Mislav Oršić - 3,Dominik Livaković,
R16,es, Sevilla,10,6,1,3,26,12,+14,19,19.4,11.8,+7.6,+0.73,31811,Wissam Ben Yedder - 8,Tomáš Vaclík,
R16,fr, Rennes,10,5,1,4,16,16,0,16,14.8,13.4,+1.4,+0.14,26184,Ismaila Sarr - 4,Tomáš Koubek,
R16,ru, Krasnodar,10,4,3,3,11,12,-1,15,13.2,11.6,+1.6,+0.16,26756,Magomed-Shapi Suleymanov - 3,Matvei Safonov,
R16,ua, Dynamo Kyiv,10,4,3,3,13,17,-4,15,10.5,16.4,-5.9,-0.59,34243,Benjamin Verbič - 3,Denys Boyko,
R16,ru, Zenit,10,4,2,4,11,12,-1,14,10.2,11.3,-1.1,-0.11,47721,Sardar Azmoun - 3,Andrey Lunyov,
R16,it, Inter,4,2,1,1,5,1,+4,7,5.8,4.3,+1.5,+0.37,41012,Andrea Ranocchia Matteo Politano... - 1,Samir Handanović,
,,,,,,,,,,,,,,,,,
R32,de, Leverkusen,8,4,3,1,17,10,+7,15,10.1,9.5,+0.6,+0.08,17921,Lucas Alario - 4,Lukáš Hrádecký,
R32,pt, Sporting CP,8,4,2,2,14,5,+9,14,11.2,6.4,+4.9,+0.61,30880,Bruno Fernandes - 3,Romain Salin,
R32,es, Betis,8,3,4,1,11,8,+3,13,13.3,8.4,+4.9,+0.62,41781,Giovani Lo Celso - 5,Joel Robles,
R32,be, Genk,8,3,3,2,15,12,+3,12,10.9,8.6,+2.3,+0.29,12953,Mbwana Samatta Leandro Trossard - 3,Danny Vukovic,
R32,by, BATE Borisov,8,4,0,4,10,12,-2,12,5.4,11.3,-6.0,-0.74,11290,Mikalay Signevich - 3,Denis Scherbitskiy,
R32,gr, Olympiacos,8,3,2,3,13,9,+4,11,13.8,9.9,+3.9,+0.49,28678,Kostas Fortounis - 3,José Sá,
R32,tr, Fenerbahçe,8,3,2,3,9,10,-1,11,9.3,9.2,+0.1,+0.01,30715,Islam Slimani - 3,Harun Tekin,
R32,ch, Zürich,8,3,1,4,8,11,-3,10,9.3,9.2,+0.1,+0.01,12407,Benjamin Kololli - 2,Yanick Brecher,
R32,at, Rapid Wien,8,3,1,4,6,14,-8,10,6.4,13.0,-6.6,-0.82,22800,Thomas Murg Philipp Schobesberger... - 1,Richard Strebinger,
R32,se, Malmö,8,2,3,3,8,11,-3,9,6.3,12.5,-6.2,-0.77,17801,Marcus Antonsson - 3,Johan Dahlin,
R32,it, Lazio,8,3,0,5,9,14,-5,9,9.2,9.4,-0.2,-0.02,16155,Marco Parolo Joaquín Correa - 2,Silvio Proto Thomas Strakosha,
R32,sct, Celtic,8,3,0,5,6,11,-5,9,8.6,13.3,-4.7,-0.59,49581,Odsonne Édouard - 2,Craig Gordon,
